"abstract","pub_date","publisher","raw_body","cleaned_body"
"A summary of the police investigation, released two years after the attack, found that the shooter had spent years planning the violence and covering up mental health problems.",2025-04-02,"The New York Times","Advertisement Supported by A summary of the police investigation, released two years after the attack, found that the shooter had spent years planning the violence and covering up mental health problems. By Emily Cochrane Emily Cochrane lives in Nashville and has covered the aftermath of the Covenant School shooting since March 2023. The shooter who killed three third graders and three staff members at the Covenant School in Nashville two years ago acted alone in hopes of achieving infamy, a police investigation has concluded. The investigation, a summary of which the Metropolitan Nashville Police Department released on Wednesday, found that the shooter, a former student at the private Christian school, had spent years carefully planning an attack. It also found that the shooter had hidden growing mental health struggles from relatives and therapists to ensure the attack succeeded. The investigation absolved family members, therapists and those who sold guns to the 28-year-old shooter, whose legal name was Audrey Hale, of any culpability. The report noted that legally, there was little the shooter’s parents could do, given that the weapons were purchased and owned legally in a state with few restrictions. In the aftermath of the school shooting, the worst in Tennessee’s history, there were months of protests calling for tighter gun laws. Gun rights groups, journalists and a Republican state lawmaker sued for the release of writings left by the shooter, something the families of the victims and most surviving students sought to stop. Last July, a judge in Nashville refused to allow the publication of journals, art or video created by the shooter, though the judge ruled that any investigative findings could be released. Her ruling was appealed. The absence of a clear motive or significant social media postings by the Nashville shooter inflamed rampant speculation that has not fully subsided. After police officials said that the shooter identified as transgender, right-wing activists intensified attacks on transgender people, claimed a connection between the shooting and the assailant’s gender identity without citing any evidence, and speculated about a conspiracy to cover up details about a killing at a Christian school. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","summary police investigation released two years attack found shooter spent years planning violence covering mental health problems emily cochrane emily cochrane lives nashville covered aftermath covenant school shooting since march shooter killed three third graders three staff members covenant school nashville two years ago acted alone hopes achieving infamy police investigation concluded investigation summary metropolitan nashville police department released wednesday found shooter former student private christian school spent years carefully planning attack also found shooter hidden growing mental health struggles relatives therapists ensure attack succeeded investigation absolved family members therapists sold guns year old shooter whose legal name audrey hale culpability report noted legally little shooter parents given weapons purchased owned legally state restrictions aftermath school shooting worst tennessee history months protests calling tighter gun laws gun rights groups journalists republican state lawmaker sued release writings left shooter something families victims surviving students sought stop last july judge nashville refused allow publication journals art video created shooter though judge ruled investigative findings released ruling appealed absence clear motive significant social media postings nashville shooter inflamed rampant speculation fully subsided police officials said shooter identified transgender right wing activists intensified attacks transgender people claimed connection shooting assailant gender identity without citing evidence speculated conspiracy cover details killing christian school"
"The former president was taking a morning walk just as two young siblings posed with the Washington Monument and cherry blossoms serving as a perfect backdrop.",2025-04-02,"The New York Times","Trump Administration Advertisement Supported by The former president was taking a morning walk just as two young siblings posed with the Washington Monument and cherry blossoms serving as a perfect backdrop. By Adeel Hassan The preschooler, Belle Thomas, and her 1-year-old brother, Preston, are standing still, looking straight into the camera lens and smiling. It’s picture-perfect, and the photographer is ready. Click. Just then, a 6-foot-1, two-term former president of the United States strides into the frame. In a few seconds, the photo shoot is over, and the photos are no longer of the siblings alone. That’s how Barack Obama inadvertently became part of a family’s moment early Monday morning at the Tidal Basin in Washington. The family was elated to have him as an interloper, the parents said. “What! Barack Obama is in my picture?” exclaimed Belle, 4, the preschooler, during the joyous aftermath, when her parents, grandparents, and the family photographer, Briana Inell, realized that Mr. Obama had indeed been part of four or five frames. The photographer had not planned it that way. “I was trying to frame my picture, make sure that the Washington Monument is on the left and the blossoms are on the right, and the babies are in the center,” Ms. Inell said on Wednesday. In the moment, Ms. Inell — who has been taking photos during peak cherry blossom season for the last 10 years — did not even notice as Mr. Obama entered the frame. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","trump administration former president taking morning walk just two young siblings posed washington monument cherry blossoms serving perfect backdrop adeel hassan preschooler belle thomas year old brother preston standing still looking straight camera lens smiling picture perfect photographer ready click just foot two term former president united states strides frame seconds photo shoot photos longer siblings alone barack obama inadvertently became part family moment early monday morning tidal basin washington family elated interloper parents said barack obama picture exclaimed belle preschooler joyous aftermath parents grandparents family photographer briana inell realized mr obama indeed part four five frames photographer planned way trying frame picture make sure washington monument left blossoms right babies center ms inell said wednesday moment ms inell taking photos peak cherry blossom season last years even notice mr obama entered frame"
"The administration concluded last month that Maine had violated federal law by allowing transgender athletes to play on girls’ or women’s teams.",2025-04-02,"The New York Times","Trump Administration Advertisement Supported by The administration concluded last month that Maine had violated federal law by allowing transgender athletes to play on girls’ or women’s teams. By Jenna Russell The Department of Agriculture said on Thursday that it had frozen federal funding for education programs in Maine, the latest in a barrage of actions targeting the state since its Democratic governor, Janet Mills, sparred with President Trump over the issue of transgender athletes at the White House in February. The agriculture secretary, Brooke Rollins, notified Ms. Mills in a letter that funding would be stopped while the agency reviews grants awarded to Maine by the Biden administration, many of which “appear to be wasteful, redundant, or otherwise against the priorities of the Trump administration,” Ms. Rollins wrote in the letter, according to a statement. It was not immediately clear which educational programs would be affected by the funding freeze. The government’s statement said its latest action would not alter “federal feeding programs or direct assistance to citizens.” Since Feb. 21, when Mr. Trump told Ms. Mills that she had “better comply” with his executive order barring transgender women from participating in women’s sports, federal agencies have initiated several investigations of Maine’s public education system. The administration concluded last month that Maine had violated federal law by allowing transgender athletes to play on girls’ or women’s teams. Maine has declined to accept a proposed settlement agreement that would require it to change a state law that prohibits discrimination based on gender identity. Ms. Mills maintains that only the state legislature can change the law. Investigations of the state continued to multiply last week, as the Department of Education began a new inquiry based on the allegation that Maine schools illegally withheld information from the parents of transgender students. The escalating conflict has spurred protests for and against Ms. Mills in the politically divided state, where temporary cuts to grant-funded programs at the University of Maine threatened to curtail coastal research used to manage the state’s fisheries and protect its waterfront from rising seas. Jenna Russell is the lead reporter covering New England for The Times. She is based near Boston. Advertisement","trump administration administration concluded last month maine violated federal law allowing transgender athletes play girls women teams jenna russell department agriculture said thursday frozen federal funding education programs maine latest barrage actions targeting state since democratic governor janet mills sparred president trump issue transgender athletes white house february agriculture secretary brooke rollins notified ms mills letter funding stopped agency reviews grants awarded maine biden administration many appear wasteful redundant otherwise priorities trump administration ms rollins wrote letter according statement immediately clear educational programs affected funding freeze government statement said latest action alter federal feeding programs direct assistance citizens since feb mr trump told ms mills better comply executive order barring transgender women participating women sports federal agencies initiated several investigations maine public education system administration concluded last month maine violated federal law allowing transgender athletes play girls women teams maine declined accept proposed settlement agreement require change state law prohibits discrimination based gender identity ms mills maintains state legislature can change law investigations state continued multiply last week department education began new inquiry based allegation maine schools illegally withheld information parents transgender students escalating conflict spurred protests ms mills politically divided state temporary cuts grant funded programs university maine threatened curtail coastal research used manage state fisheries protect waterfront rising seas jenna russell lead reporter covering new england times based near boston"
"After a failed $20 million effort to tilt a State Supreme Court race, Elon Musk joins the ranks of billionaires frustrated by the laws of politics.",2025-04-02,"The New York Times","Elections Advertisement Newsletter After a failed $20 million effort to tilt a State Supreme Court race, Elon Musk joins the ranks of billionaires frustrated by the laws of politics. By Lisa Lerer Elon Musk learned an important lesson on Tuesday: Money isn’t everything. His $20 million effort to tilt a State Supreme Court race in Wisconsin to Republicans’ preferred candidate — and, as Musk said just hours before voting ended, to determine the fate of “Western civilization” — ended in failure when Democratic voters swamped the polls. Musk isn’t the first wealthy man to discover that pouring cash into a campaign doesn’t guarantee victory. Just ask Michael Bloomberg. Or Tom Steyer. But although Musk made the wrong financial bet, he was right that the race carried far larger stakes than simply the balance of Wisconsin’s highest court. The contest will help both parties craft a political strategy for next year’s midterm elections. Special elections, like the one in Wisconsin, offer early clues about the political environment. For weeks, strategists have been wondering about the political impact of Musk, who has emerged as one of the most indefatigable forces in the new administration. While polling indicates that Musk is broadly unpopular with Democrats and independents, some strategists wondered if he could drive Republicans to the polls, particularly in races where President Trump is not on the ballot. Wisconsin offers an early indication that Musk does energize voters. Just not, perhaps, the ones he was aiming for. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","elections newsletter failed million effort tilt state supreme court race elon musk joins ranks billionaires frustrated laws politics lisa lerer elon musk learned important lesson tuesday money isn t everything million effort tilt state supreme court race wisconsin republicans preferred candidate musk said just hours voting ended determine fate western civilization ended failure democratic voters swamped polls musk isn t first wealthy man discover pouring cash campaign doesn t guarantee victory just ask michael bloomberg tom steyer although musk made wrong financial bet right race carried far larger stakes simply balance wisconsin highest court contest help parties craft political strategy next year midterm elections special elections like one wisconsin offer early clues political environment weeks strategists wondering political impact musk emerged one indefatigable forces new administration polling indicates musk broadly unpopular democrats independents strategists wondered drive republicans polls particularly races president trump ballot wisconsin offers early indication musk energize voters just perhaps ones aiming"
"In February, security camera footage showed a masked figure spraying the reindeer with an unknown liquid. The police have no leads.",2025-04-02,"The New York Times","Advertisement Supported by In February, security camera footage showed a masked figure spraying the reindeer with an unknown liquid. The police have no leads. By Hank Sanders Star VII, the famous reindeer who led parades and cultural events as the unofficial mascot of Anchorage, Alaska, was euthanized on Tuesday, just weeks after a masked figure sprayed the animal with a mysterious liquid before vanishing into the night. Under the cloak of darkness on Feb. 20, someone jumped into Star’s enclosure and let the 8-year-old male reindeer out onto the streets of Anchorage, security footage showed. The next night, after the police found the animal and returned him to his owner, Albert Whitehead, another masked figure approached the reindeer and sprayed him with an unknown substance. The Anchorage Police Department said on Wednesday that it did not have any leads into the person or persons responsible. The department said that it assumed that the person who let Star out of the enclosure was the same person who later sprayed him with the liquid. A detective is working on the case and is seeking the public’s help, the department said. In the days after Star VII was attacked, he was diagnosed with pneumonia and became so sick that Mr. Whitehead, 84, considered putting him down to take him out of his misery. But a treatment program from a veterinary clinic helped Star’s condition improve, and Mr. Whitehead had believed Star could make a full recovery. Then, about two weeks later, Star’s condition deteriorated again. “His ruminate started going back out through his nostrils,” Mr. Whitehead said in a phone interview on Wednesday. “Something is going on in the stomach. You don’t know what that is.” Unlike cows, “almost 100 percent” of reindeer do not survive stomach surgery, Mr. Whitehead said. He said he would not know the cause of death until a necropsy has concluded. He said he thought that the liquid that was sprayed at his animal was air freshener, but has not confirmed that. “We feel extremely sad,” Mr. Whitehead said. “They hurt an unknown animal for some unknown reason. I just don’t understand why people would do that.” Star VII was, as his name suggests, the seventh such unofficial Anchorage mascot. Normally, as with the pope or the Dalai Lama, when one Star dies, another Star is named. But Mr. Whitehead, who was also the main caretaker for Star VI, said he was not comfortable naming a Star VIII. “I don’t feel safe putting another animal in that pen,” Mr. Whitehead said. If the culprit is caught, Mr. Whitehead said, he “would revisit” the possibility of caring for a Star VIII. Hank Sanders is a Times reporter and a member of the 2024-25 Times Fellowship class, a program for journalists early in their careers. Advertisement","february security camera footage showed masked figure spraying reindeer unknown liquid police leads hank sanders star vii famous reindeer led parades cultural events unofficial mascot anchorage alaska euthanized tuesday just weeks masked figure sprayed animal mysterious liquid vanishing night cloak darkness feb someone jumped star enclosure let year old male reindeer onto streets anchorage security footage showed next night police found animal returned owner albert whitehead another masked figure approached reindeer sprayed unknown substance anchorage police department said wednesday leads person persons responsible department said assumed person let star enclosure person later sprayed liquid detective working case seeking public help department said days star vii attacked diagnosed pneumonia became sick mr whitehead considered putting take misery treatment program veterinary clinic helped star condition improve mr whitehead believed star make full recovery two weeks later star condition deteriorated ruminate started going back nostrils mr whitehead said phone interview wednesday something going stomach don t know unlike cows almost percent reindeer survive stomach surgery mr whitehead said said know cause death necropsy concluded said thought liquid sprayed animal air freshener confirmed feel extremely sad mr whitehead said hurt unknown animal unknown reason just don t understand people star vii name suggests seventh unofficial anchorage mascot normally pope dalai lama one star dies another star named mr whitehead also main caretaker star vi said comfortable naming star viii don t feel safe putting another animal pen mr whitehead said culprit caught mr whitehead said revisit possibility caring star viii hank sanders times reporter member times fellowship class program journalists early careers"
"Republicans began investigating ActBlue, the Democratic Party’s main fund-raising platform, last year in part of a broader bid to target key Democratic organizations.",2025-04-02,"The New York Times","Trump Administration Advertisement Supported by Republicans began investigating ActBlue, the Democratic Party’s main fund-raising platform, last year in part of a broader bid to target key Democratic organizations. By Reid J. Epstein and Shane Goldmacher The leaders of three Republican-led House committees accused ActBlue, the main Democratic fund-raising platform, of complacency in fraud prevention and demanded more information about the recent resignations of a raft of top executives. “ActBlue’s internal turmoil, lack of a functioning legal team, possible retaliatory actions and failure to take fraud seriously raise a host of new questions about the platform’s ability to deter fraud and comply with legal requirements,” the chairmen of the House Judiciary, Oversight and Administration committees wrote in a four-page letter on Wednesday. The Republican chairmen specifically demanded documents related to the resignation of officials in the general counsel’s office of ActBlue, which were first reported last month by The New York Times. Republicans began investigating ActBlue last year, and the efforts are part of a broader bid to target key pieces of the Democratic political infrastructure. The committee chairmen, Representatives Jim Jordan of Ohio, James Comer of Kentucky and Bryan Steil of Wisconsin, also demanded testimony from two ActBlue employees whose names were redacted from a copy of the letter posted online. The letter accompanied an interim staff report that was released on Wednesday, along with nearly 500 pages of internal ActBlue documents, accusing the nonprofit of “a fundamentally unserious approach to fraud prevention.” Megan Hughes, a spokeswoman for ActBlue, said in a statement: “As we have historically done, ActBlue will continue to respond to requests from the House committees.” The interim report from Republicans on the Judiciary, Oversight and Administration committees accused ActBlue of having “lowered its fraud-prevention standards” in 2024, pointing to, among other examples, a fraud specialist citing an annual goal that included “D.E.I. work.” While the report accused the company of opening the door to fraud, it did not contain any notable new examples but rather said the documents that it had “paint a picture of complacency.” The turmoil at ActBlue was set off in late February when two unions that represent its staff members wrote a letter to ActBlue’s board warning that the departures of the lawyers in the firm’s general counsel’s office had left the remaining employees facing legal risk for their actions. It remains unclear what instigated so many sudden departures from ActBlue. None of the officials who left the company have agreed to be interviewed on the record. But the tumult and the congressional investigation come at a perilous moment for ActBlue and the Democratic candidates and causes that rely on it to process their fund-raising. Republicans at the Capitol and in the Trump administration are vying to cripple mechanisms Democrats rely on for finances and communications. When a phone-banking system Democrats use went down briefly last weekend during the final get-out-the-vote period before Wisconsin’s Supreme Court election, some Democrats fretted that it could have been sabotaged by the political right, and then worried anew about the potential of Elon Musk’s buying Democratic tech firms in order to shut them down. Reid J. Epstein covers campaigns and elections from Washington. Before joining The Times in 2019, he worked at The Wall Street Journal, Politico, Newsday and The Milwaukee Journal Sentinel. Shane Goldmacher is a Times national political correspondent. Advertisement","trump administration republicans began investigating actblue democratic party main fund raising platform last year part broader bid target key democratic organizations reid j epstein shane goldmacher leaders three republican led house committees accused actblue main democratic fund raising platform complacency fraud prevention demanded information recent resignations raft top executives actblue internal turmoil lack functioning legal team possible retaliatory actions failure take fraud seriously raise host new questions platform ability deter fraud comply legal requirements chairmen house judiciary oversight administration committees wrote four page letter wednesday republican chairmen specifically demanded documents related resignation officials general counsel office actblue first reported last month new york times republicans began investigating actblue last year efforts part broader bid target key pieces democratic political infrastructure committee chairmen representatives jim jordan ohio james comer kentucky bryan steil wisconsin also demanded testimony two actblue employees whose names redacted copy letter posted online letter accompanied interim staff report released wednesday along nearly pages internal actblue documents accusing nonprofit fundamentally unserious approach fraud prevention megan hughes spokeswoman actblue said statement historically done actblue continue respond requests house committees interim report republicans judiciary oversight administration committees accused actblue lowered fraud prevention standards pointing among examples fraud specialist citing annual goal included dei work report accused company opening door fraud contain notable new examples rather said documents paint picture complacency turmoil actblue set late february two unions represent staff members wrote letter actblue board warning departures lawyers firm general counsel office left remaining employees facing legal risk actions remains unclear instigated many sudden departures actblue none officials left company agreed interviewed record tumult congressional investigation come perilous moment actblue democratic candidates causes rely process fund raising republicans capitol trump administration vying cripple mechanisms democrats rely finances communications phone banking system democrats use went briefly last weekend final get vote period wisconsin supreme court election democrats fretted sabotaged political right worried anew potential elon musk buying democratic tech firms order shut reid j epstein covers campaigns elections washington joining times worked wall street journal politico newsday milwaukee journal sentinel shane goldmacher times national political correspondent"
"G.O.P. leaders are planning to use the “nuclear option” to steer around the Senate’s in-house referee and allow the use of a gimmick that makes trillions of dollars in tax cuts appear to be free.",2025-04-02,"The New York Times","Trump Administration Advertisement Supported by G.O.P. leaders are planning to use the “nuclear option” to steer around the Senate’s in-house referee and allow the use of a gimmick that makes trillions of dollars in tax cuts appear to be free. By Catie Edmondson Reporting from the Capitol For decades, senators looking to push major budget and tax legislation through Congress on a simple majority vote have had to win the blessing of a single unelected figure on Capitol Hill. The Senate parliamentarian, a civil servant who acts as the arbiter and enforcer of the chamber’s byzantine rules, has traditionally been in a position to make or break entire presidential agendas. That includes determining whether budget and tax legislation can be fast-tracked through Congress and shielded from a filibuster, allowing it to pass along party lines through a process known as reconciliation. Now, in their zeal to deliver President Trump’s domestic policy agenda in “one big beautiful bill” of spending and tax cuts, Senate Republicans are trying to steer around the parliamentarian, busting a substantial congressional norm in the process. The strategy would allow them to avoid getting a formal thumbs up or thumbs down on their claim that extending the tax cuts that Mr. Trump signed into law in 2017 would cost nothing — a gimmick that would make it easier for them to cram as many tax reductions as possible into their bill without appearing to balloon the deficit. In recent days, all eyes have been on Elizabeth MacDonough, the parliamentarian, to see whether she would bless the trick, smoothing the path for the G.O.P. bill. But on Wednesday, Republicans signaled that they planned to take extraordinary action to go around her altogether. Rather than have Ms. MacDonough weigh in, they asserted that Senator Lindsey Graham of South Carolina, as chairman of the Budget Committee, could unilaterally decide the cost of the legislation, citing a 1974 budget law. Senate Republicans on Wednesday unveiled a new budget resolution they planned to put to a vote as early as this week. And Mr. Graham declared in a statement that he considered an extension of the 2017 tax cuts to be cost-free. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","trump administration gop leaders planning use nuclear option steer around senate house referee allow use gimmick makes trillions dollars tax cuts appear free catie edmondson reporting capitol decades senators looking push major budget tax legislation congress simple majority vote win blessing single unelected figure capitol hill senate parliamentarian civil servant acts arbiter enforcer chamber byzantine rules traditionally position make break entire presidential agendas includes determining whether budget tax legislation can fast tracked congress shielded filibuster allowing pass along party lines process known reconciliation now zeal deliver president trump domestic policy agenda one big beautiful bill spending tax cuts senate republicans trying steer around parliamentarian busting substantial congressional norm process strategy allow avoid getting formal thumbs thumbs claim extending tax cuts mr trump signed law cost nothing gimmick make easier cram many tax reductions possible bill without appearing balloon deficit recent days eyes elizabeth macdonough parliamentarian see whether bless trick smoothing path gop bill wednesday republicans signaled planned take extraordinary action go around altogether rather ms macdonough weigh asserted senator lindsey graham south carolina chairman budget committee unilaterally decide cost legislation citing budget law senate republicans wednesday unveiled new budget resolution planned put vote early week mr graham declared statement considered extension tax cuts cost free"
"Mark Green, a Republican who once worked under President Trump, stepped down as head of the Wilson Center after employees of Elon Musk’s team visited the think tank.",2025-04-03,"The New York Times","Trump Administration Advertisement Supported by Mark Green, a Republican who once worked under President Trump, stepped down as head of the Wilson Center after employees of Elon Musk’s team visited the think tank. By Aishvarya Kavi and Edward Wong Reporting from Washington The head of the Wilson Center, a storied foreign policy think tank, resigned on Tuesday, a day after employees from Elon Musk’s government-overhauling team arrived at the group’s Washington headquarters to dismantle it, according to people familiar with the actions at the center. The resignation of the president, Mark Green, a Republican, and the visit from Mr. Musk’s Department of Government Efficiency team, indicated that the Trump administration was carrying out an executive order President Trump signed last month directing that the organization, a nonpartisan policy group, be largely dismantled. After DOGE team members visited the center on Monday and Tuesday, some of the leadership staff and senior government employees were ousted, including Mr. Green, according to the people, who spoke on the condition of anonymity to avoid retribution by political appointees in the Trump administration. The center’s dozens of federal employees, about a third of its work force, were also set to be placed on administrative leave. The apparent gutting of the Wilson Center would be the latest attempt by the Trump administration to bring federally funded institutions that have historically been independent under executive branch control, and in much diminished forms. Mr. Musk and his task force have helped lead efforts at slashing those institutions and various federal agencies. One person familiar with Mr. Green’s resignation said he had been offered a choice: Step down or be fired. Mr. Green, who has been a Wisconsin congressman, an ambassador to Tanzania and head of the now-defunct U.S. Agency for International Development during Mr. Trump’s first term, could not be reached for comment on Wednesday. After the March executive order calling for the center to be reduced “to the minimum presence and function required by law,” Mr. Green wrote in an email to members that its leaders had viewed the order and were “crafting plans to comply.” He did not say whether the center would push back against the executive order. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","trump administration mark green republican worked president trump stepped head wilson center employees elon musk team visited think tank aishvarya kavi edward wong reporting washington head wilson center storied foreign policy think tank resigned tuesday day employees elon musk government overhauling team arrived group washington headquarters dismantle according people familiar actions center resignation president mark green republican visit mr musk department government efficiency team indicated trump administration carrying executive order president trump signed last month directing organization nonpartisan policy group largely dismantled doge team members visited center monday tuesday leadership staff senior government employees ousted including mr green according people spoke condition anonymity avoid retribution political appointees trump administration center dozens federal employees third work force also set placed administrative leave apparent gutting wilson center latest attempt trump administration bring federally funded institutions historically independent executive branch control much diminished forms mr musk task force helped lead efforts slashing institutions various federal agencies one person familiar mr green resignation said offered choice step fired mr green wisconsin congressman ambassador tanzania head now defunct us agency international development mr trump first term reached comment wednesday march executive order calling center reduced minimum presence function required law mr green wrote email members leaders viewed order crafting plans comply say whether center push back executive order"
"The secretary of state’s trip comes amid an abrupt shift in relations between the United States and Europe after close cooperation during the Biden era.",2025-04-03,"The New York Times","Russia-Ukraine War Advertisement Supported by The secretary of state’s trip comes amid an abrupt shift in relations between the United States and Europe after close cooperation during the Biden era. By Michael Crowley Michael Crowley traveled to Brussels aboard Secretary of State Marco Rubio’s government plane and is covering his NATO meetings there. Secretary of State Marco Rubio traveled to Brussels on Thursday for a gathering of NATO foreign ministers amid high anxiety over the Trump administration’s approach to Europe, including the war in Ukraine, relations with Russia and President Trump’s growing trade war with the continent. Mr. Rubio’s visit to the alliance’s headquarters comes as relations between the United States and Europe have abruptly shifted from the close cooperation of the Biden era to mistrust and acrimony under Mr. Trump. At the same time, NATO officials may welcome a chance to confer with Mr. Rubio, whom many consider the most pro-alliance member of Mr. Trump’s national security team. As a senator in 2023, representing Florida, Mr. Rubio cosponsored legislation requiring any president to seek the Senate’s advice and consent before withdrawing from the organization. Former aides say Mr. Trump has privately mused about taking that step, which would shatter the 32-nation military alliance formed to counter Russia. Foreign officials who have dealt with Mr. Rubio since he became Mr. Trump’s top diplomat have described him as downplaying some of Mr. Trump’s wilder ideas and translating them into more realistic policy approaches, although they also question whether he truly speaks for a president with whom he does not have a close personal relationship. In that vein, Mr. Rubio arrived in Brussels on Thursday with some reassurances about Mr. Trump’s views on the alliance. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","russia ukraine war secretary state trip comes amid abrupt shift relations united states europe close cooperation biden era michael crowley michael crowley traveled brussels aboard secretary state marco rubio government plane covering nato meetings secretary state marco rubio traveled brussels thursday gathering nato foreign ministers amid high anxiety trump administration approach europe including war ukraine relations russia president trump growing trade war continent mr rubio visit alliance headquarters comes relations united states europe abruptly shifted close cooperation biden era mistrust acrimony mr trump time nato officials may welcome chance confer mr rubio many consider pro alliance member mr trump national security team senator representing florida mr rubio cosponsored legislation requiring president seek senate advice consent withdrawing organization former aides say mr trump privately mused taking step shatter nation military alliance formed counter russia foreign officials dealt mr rubio since became mr trump top diplomat described downplaying mr trump wilder ideas translating realistic policy approaches although also question whether truly speaks president close personal relationship vein mr rubio arrived brussels thursday reassurances mr trump views alliance"
"The lawyer of the white supremacist who slaughtered 23 people in 2019 said his client was inspired by President Trump’s words, the same the president is using today.",2025-04-03,"The New York Times","Advertisement Supported by The lawyer of the white supremacist who slaughtered 23 people in 2019 said his client was inspired by President Trump’s words, the same the president is using today. By Edgar Sandoval and Reyes Mata III Reporting from El Paso Five and a half years ago, Patrick Crusius, a 21-year-old with a documented history of mental illness, stopped at a Walmart in the border city of El Paso, heard everyone around him speaking in Spanish, and decided “the invasion” that then-President Donald J. Trump often spoke of was underway. Mr. Crusius’s rampage on Aug. 3, 2019, took the lives of 23 people, both U.S. citizens and Mexican nationals who had crossed the border to do some shopping, becoming the deadliest attack on Hispanic civilians in American history. His attorney, Joe Spencer, said on Tuesday in an interview ahead of his client’s sentencing hearing scheduled for April 21 for state charges that Mr. Trump’s anti-immigration rhetoric was to blame. The president’s words, combined with “severe mental illness,” fueled Mr. Crusius’s hate, the lawyer said in his office in El Paso. “He thinks this is the invasion,” said Mr. Spencer, who has represented the gunman since his arrest. He added, “In his mind, he’s saying, ‘I’m getting a direct order from the president. I have to do something.’” Mr. Spencer made similar comments last week to El Paso Matters, a local publication. The ugly saga, which began in a fusillade of bullets and was then mired by legal setbacks and red tape, concludes this month just as the same anti-immigration rhetoric that may have inspired the Walmart gunman returns with Mr. Trump’s second administration. The president is embarking on an aggressive campaign to deport millions of undocumented immigrants, and the word “invasion” is now a legal pretext for deportations and foreign incarceration with little to no due process, critics say. That has cast a pall over El Paso just when the families of the victims and survivors of the deadly shooting of 2019 must confront the crime again. Christopher Morales, 39, whose aunt was killed that day and whose mother and grandmother suffered severe injures, said Mr. Trump’s influence will be on his mind when he attends the sentencing hearing. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times. Thank you for your patience while we verify access. Already a subscriber? Log in. Want all of The Times? Subscribe. Advertisement","lawyer white supremacist slaughtered people said client inspired president trump words president using today edgar sandoval reyes mata iii reporting el paso five half years ago patrick crusius year old documented history mental illness stopped walmart border city el paso heard everyone around speaking spanish decided invasion president donald j trump often spoke underway mr crusius rampage aug took lives people us citizens mexican nationals crossed border shopping becoming deadliest attack hispanic civilians american history attorney joe spencer said tuesday interview ahead client sentencing hearing scheduled april state charges mr trump anti immigration rhetoric blame president words combined severe mental illness fueled mr crusius hate lawyer said office el paso thinks invasion said mr spencer represented gunman since arrest added mind saying m getting direct order president something mr spencer made similar comments last week el paso matters local publication ugly saga began fusillade bullets mired legal setbacks red tape concludes month just anti immigration rhetoric may inspired walmart gunman returns mr trump second administration president embarking aggressive campaign deport millions undocumented immigrants word invasion now legal pretext deportations foreign incarceration little due process critics say cast pall el paso just families victims survivors deadly shooting must confront crime christopher morales whose aunt killed day whose mother grandmother suffered severe injures said mr trump influence mind attends sentencing hearing"
